,_id,similarity,ltable_id,rtable_id,ltable_title,ltable_artist_name,rtable_song,rtable_artists
136,136,0.333333333333,114034,63757,The Great Escape,Whatever It Takes,Whatever It Takes,jody colero+stephen stohn+jakalope
137,137,0.333333333333,369076,114039,Dumb,The Beautiful South,Hey Beautiful,the solids
138,138,0.333333333333,150780,28058,The Blame,All Star United,The Star,aurea
139,139,0.333333333333,425869,28238,The Slightest Touch,Five Star,The Star,aurea
140,140,0.333333333333,911549,467626,Germania,DJ Hell,Hell,
141,141,0.333333333333,425869,28058,The Slightest Touch,Five Star,The Star,aurea
142,142,0.333333333333,775225,696097,Follow The Jack,Floor,RayD,the jack lords
143,143,0.333333333333,344436,540090,Fingers,The Almighty Trigger Happy,The Happy Wanderer,
144,144,0.333333333333,425869,28688,The Slightest Touch,Five Star,The Star,aurea
145,145,0.333333333333,775421,340330,Shadows of the Night,The Scientists,Gospel Zone ,the shadows of knight
146,146,0.333333333333,114034,63869,The Great Escape,Whatever It Takes,Whatever It Takes,colero+stephen stohn+tyler kyte
147,147,0.333333333333,873951,565645,The Fool On The Hill,Sony Wonder,The Wheels On The Bus,
148,148,0.333333333333,237209,715214,Not Anyone,Black Box,Black Box Disco,vortex
149,149,0.333333333333,159406,565645,On the Modification of Clouds,THE EYE,The Wheels On The Bus,
150,150,0.333333333333,656169,663581,Silent Night,The String Trio of New York,New York State of Mind,h the great
151,151,0.333333333333,169095,554836,Bonus Track,Billy Boy Arnold,Billy Boy,traditional
152,152,0.333333333333,843453,670168,On the Grind,Nu-Contrast,Get On,the dirtmitts
153,153,0.333333333333,223866,88588,Llega La Noche,Cabas,Mal amor,la noche
154,154,0.333333333333,783423,5344,Static In The Whole,The Winter Sounds,In The Mood,the syndakit
155,155,0.333333333333,134185,5344,The In Crowd,The Mike Flowers Pops,In The Mood,the syndakit
156,156,0.333333333333,129939,138957,Angola_ LA & The 13th Amendment,Christian Scott,The Stretch,13th amendment
157,157,0.333333333333,578225,675693,Waste,The Amber Light,The Light,brittney bouchard
158,158,0.333333333333,930544,699600,25 Ta Life (Album Version),Saafir,Over the Years,25 ta life
159,159,0.333333333333,369076,114443,Dumb,The Beautiful South,Hey Beautiful,the solids
160,160,0.333333333333,150780,28258,The Blame,All Star United,The Star,aurea
161,161,0.333333333333,843453,311101,On the Grind,Nu-Contrast,On The Run,therealjonsmith
162,162,0.333333333333,425869,28258,The Slightest Touch,Five Star,The Star,aurea
163,163,0.333333333333,150780,28238,The Blame,All Star United,The Star,aurea
164,164,0.333333333333,168216,513092,Banish me,Les Anges de la Nuit,Les Gars de la Marine,
165,165,0.333333333333,135944,135858,Grizzly Bear,The Youngbloods,Yet Again,grizzly bear
166,166,0.333333333333,43862,5344,Walk In The Light,The American Boychoir,In The Mood,the syndakit
167,167,0.333333333333,308076,675259,Sonnet,The End,The End Title,randy newman
168,168,0.333333333333,951721,170958,The Moment,Sun Yan-Zi,Under the Sun,cheryl
169,169,0.333333333333,173993,558128,The Race Is On,George Jones,The Search Is On,fred kron
170,170,0.333333333333,479921,670168,On The Money,Floor,Get On,the dirtmitts
171,171,0.333333333333,623223,351010,Yakayaka!,Michel Korb,Michel,
172,172,0.333333333333,118326,562178,The First Noel,Weezer,The Masterplan,noel gallagher+oasis
173,173,0.333333333333,3365,176187,As It Was,Bumpus,It was real,livi
174,174,0.333333333333,943362,590538,Fire,Los Fancy Free,Excerpt from Fancy Free,
175,175,0.333333333333,16776,305901,New York,Tupac,Human Being,new york dolls
176,176,0.333333333333,951721,551261,The Moment,Sun Yan-Zi,The Sun is Shinig,
177,177,0.333333333333,293253,92568,Ghost Riders in the Sky,Scary Bitches,Home,explosions in the sky
178,178,0.333333333333,85923,713626,Emergency,The Answering Machine,Machine Gun,the commodores
179,179,0.333333333333,810169,363600,At The Forge,Twilightning,At The Restaurant,anastasia
180,180,0.333333333333,681879,188473,9/11 2 (1),Joan Of Arc,Joan of Arc,emily wells+jeremy ross
181,181,0.333333333333,150780,26888,The Blame,All Star United,The Star,aurea
182,182,0.3125,263918,554630,Peace in the Valley,The Sons of the Pioneers_ Roy Rogers,The Story of the Lady in the Fan,bonnie bonnell
183,183,0.307692307692,172688,663581,We Three Kings,The String Trio of New York,New York State of Mind,h the great
184,184,0.307692307692,839115,559326,The Portrait Of Dorian Gray,I Wish I,I Wish I Were An Angel,the kelly family
185,185,0.307692307692,890611,257661,It Began In The Wind,Echo Is Your Love,Love Is In the Air ,john paul young
186,186,0.307692307692,54999,334185,My Fair Lady,the bird and the bee,The Honeysuckle and the Bee,the bologne club company
187,187,0.307692307692,246615,172440,Building In L.O.V.E.,The Hundred In The Hands,In Debt to the Heart,born in the flood
188,188,0.307692307692,775421,723417,Shadows of the Night,The Scientists,Youve Rocked My Life,jonathon the impaler sharkey+creatures of the night
189,189,0.307692307692,179480,554630,The City In The Sea,The Ocean,The Story of the Lady in the Fan,bonnie bonnell
190,190,0.307692307692,493125,107277,The Color Of Psychic Power (Live),Today Is The Day,The Day Is My Enemy,the prodigy
191,191,0.307692307692,546512,92603,Pie in the Sky (Preacher and the Slave),Joe Glazer,Snow and Lights,explosions in the sky
192,192,0.3,170559,307477,On The Hill,The Wolfgang Press,The Surrey with the Fringe on Top,
193,193,0.3,402200,565645,Play The Blues On The Moon,Byther Smith,The Wheels On The Bus,
194,194,0.3,866089,520923,At The Hop,Danny And The Juniors,Up at the Lake,the charlatans
195,195,0.3,775421,595090,Shadows of the Night,The Scientists,Yellow Stripes,the sons of the pioneers
196,196,0.3,682540,348487,Hope with u,The Man Behind C.,Man with the Blues,david rose
197,197,0.3,539884,305633,Shadow of Man,Writing On the Wall,Fly On The Wall,kelly pardekooper
198,198,0.3,696779,107277,Wicked Game,Today Is The Day,The Day Is My Enemy,the prodigy
199,199,0.3,327099,655572,Son et Lumiere,The Mars Volta,The Chase,georges delerue  et son orchestre
